"","X","carat","cut","color","clarity","depth","table","price","x","y","z"
"19898",19898,1.21,"Premium","H","IF",62.2,58,8446,6.83,6.8,4.24
"20301",20301,1.33,"Ideal","H","VS1",59.3,57,8714,7.22,7.18,4.27
"1518",1518,0.77,"Ideal","D","SI1",61.4,56,2996,5.9,5.93,3.63
"32673",32673,0.31,"Ideal","G","VS1",62.1,55,802,4.36,4.33,2.7
"33856",33856,0.3,"Premium","E","VS2",59.2,59,844,4.41,4.37,2.6
"30946",30946,0.32,"Ideal","D","SI2",62.1,55,449,4.38,4.4,2.73
"48168",48168,0.53,"Ideal","F","VVS2",62.3,56,1943,5.2,5.24,3.25
"17903",17903,1.63,"Ideal","F","I1",62,55,7229,7.57,7.5,4.68
"29309",29309,0.25,"Ideal","G","VS1",62.7,54,438,4.05,4.08,2.55
"20550",20550,1.01,"Ideal","G","IF",61.5,58,8869,6.44,6.47,3.97
"7517",7517,1.01,"Good","H","SI1",60.3,64,4242,6.49,6.52,3.92
"45305",45305,0.3,"Ideal","D","SI1",62.1,57,524,4.25,4.28,2.65
"17227",17227,1.23,"Premium","G","SI1",61.2,59,6888,6.88,6.81,4.19
"9535",9535,1.01,"Very Good","F","SI1",63,58,4619,6.31,6.39,4
"25938",25938,1.7,"Premium","D","SI1",61.9,59,15100,7.61,7.64,4.72
"17044",17044,0.28,"Very Good","F","IF",62.2,55,612,4.23,4.26,2.64
"18261",18261,1.21,"Very Good","G","VS2",63.1,60,7416,6.72,6.66,4.22
"24857",24857,2,"Ideal","J","VS2",62.3,55,13263,8.03,8.06,5.01
"13697",13697,1.01,"Very Good","D","SI1",59,59,5600,6.57,6.59,3.88
"44495",44495,0.55,"Very Good","F","VS2",62.5,62,1599,5.2,5.24,3.26
"17727",17727,0.32,"Ideal","G","VS1",61.4,54,614,4.45,4.48,2.74
"33424",33424,0.32,"Ideal","H","VVS2",61.8,55,828,4.42,4.38,2.72
"36159",36159,0.43,"Ideal","I","VVS2",60.9,57,929,4.85,4.9,2.97
"28614",28614,0.3,"Ideal","E","SI1",62.9,56,675,4.31,4.24,2.69
"37489",37489,0.35,"Ideal","E","VS2",62.5,55,984,4.52,4.5,2.82
"2884",2884,0.84,"Ideal","G","SI1",62.4,57,3279,6.06,6.03,3.77
"2555",2555,0.93,"Very Good","J","VS2",63.3,61,3208,6.19,6.14,3.9
"29056",29056,0.4,"Good","E","SI1",63.6,57,687,4.65,4.69,2.97
"53246",53246,0.7,"Premium","H","VVS2",61,62,2644,5.72,5.66,3.47
"29226",29226,0.31,"Ideal","G","VS1",62.7,57,695,4.34,4.31,2.71
"9828",9828,1.01,"Premium","D","SI2",62.2,60,4672,6.43,6.4,3.99
"41828",41828,0.42,"Ideal","G","IF",62,57,1251,4.8,4.82,2.98
"4821",4821,0.9,"Premium","F","SI2",60.5,57,3704,6.23,6.2,3.76
"13941",13941,1.22,"Premium","I","SI1",62.1,58,5671,6.89,6.8,4.25
"49684",49684,0.52,"Fair","F","IF",64.6,58,2144,5.04,5.17,3.3
"25468",25468,1.36,"Very Good","D","VVS2",62.6,58,14236,7.06,7.21,4.47
"2226",2226,0.7,"Ideal","G","SI1",61.6,55,3145,5.71,5.76,3.53
"3421",3421,0.9,"Fair","D","SI1",66.4,59,3382,5.97,5.92,3.95
"23306",23306,1.52,"Very Good","G","VS2",63.3,57,11338,7.32,7.27,4.62
"31897",31897,0.3,"Ideal","G","VS1",62.5,57,776,4.32,4.29,2.69
"33431",33431,0.32,"Ideal","G","VS1",61.8,55,828,4.45,4.42,2.74
"43350",43350,0.51,"Premium","D","SI2",59.5,61,1406,5.19,5.16,3.08
"35052",35052,0.42,"Ideal","I","VVS1",62,55,884,4.8,4.88,3
"42697",42697,0.6,"Ideal","D","SI2",61.3,59,1338,5.42,5.48,3.34
"13882",13882,1.31,"Very Good","I","SI2",60.9,58,5652,7.03,7.07,4.29
"16703",16703,0.3,"Very Good","H","SI1",61.6,62,421,4.24,4.3,2.63
"49776",49776,0.7,"Premium","F","SI1",61.3,59,2161,5.71,5.74,3.51
"4685",4685,0.96,"Fair","E","SI2",57.7,67,3674,6.49,6.46,3.73
"19249",19249,1.01,"Premium","F","VS1",61.2,59,7982,6.48,6.42,3.95
"21559",21559,1,"Good","F","IF",60.7,64,9660,6.42,6.4,3.89
"27407",27407,2.09,"Ideal","I","VS2",62.5,56,17999,8.13,8.17,5.1
"35533",35533,0.36,"Premium","F","VS2",59.4,56,905,4.71,4.69,2.79
"42470",42470,0.66,"Ideal","J","VS2",62.1,55,1316,5.6,5.64,3.49
"5093",5093,0.9,"Good","D","SI1",63.6,63,3755,6.03,6.07,3.85
"52395",52395,0.7,"Very Good","D","SI1",63.2,55,2509,5.62,5.65,3.56
"2797",2797,0.77,"Premium","E","VS1",60.8,56,3260,5.95,5.9,3.6
"18427",18427,1.24,"Premium","H","VS1",61.2,59,7493,6.94,6.91,4.24
"42324",42324,0.41,"Ideal","D","VVS2",62.3,55,1295,4.76,4.77,2.97
"1624",1624,0.73,"Very Good","D","SI1",60.8,59,3014,5.8,5.85,3.54
"20246",20246,1.26,"Premium","F","VS2",62.8,58,8676,6.89,6.84,4.31
"9813",9813,0.91,"Premium","H","VS1",61,59,4670,6.25,6.18,3.79
"33543",33543,0.35,"Ideal","E","VS1",61.2,56,829,4.53,4.55,2.78
"18559",18559,1.26,"Very Good","H","VS2",63.8,52,7567,6.89,6.84,4.38
"36281",36281,0.32,"Good","G","SI1",63.5,56,477,4.35,4.38,2.77
"4692",4692,0.79,"Ideal","H","VVS1",62,56,3675,5.92,5.96,3.68
"11136",11136,1,"Premium","F","SI1",59.3,60,4939,6.61,6.57,3.91
"36043",36043,0.41,"Ideal","G","SI1",62.9,56,923,4.75,4.7,2.97
"41189",41189,0.51,"Premium","H","VS2",60.9,60,1202,5.19,5.16,3.15
"25224",25224,1.22,"Premium","E","VVS1",61.1,60,13824,6.87,6.85,4.19
"30218",30218,0.33,"Ideal","E","VS2",62,56,723,4.46,4.48,2.77
"31748",31748,0.44,"Very Good","G","SI1",61.6,61,772,4.83,4.88,2.99
"28855",28855,0.41,"Premium","H","SI1",60.9,60,683,4.79,4.83,2.93
"6440",6440,1.29,"Very Good","G","SI2",63.2,54,4045,6.96,6.94,4.39
"35351",35351,0.42,"Ideal","H","SI1",62.4,57,898,4.79,4.76,2.98
"20873",20873,1.14,"Ideal","G","VS1",61.8,57,9090,6.67,6.7,4.12
"52795",52795,0.7,"Good","E","SI1",63.3,60,2569,5.56,5.59,3.53
"24319",24319,1.51,"Premium","G","VS2",62,57,12571,7.38,7.33,4.56
"52433",52433,0.7,"Ideal","I","VVS1",62.3,55,2513,5.64,5.7,3.53
"23471",23471,1.23,"Ideal","G","VVS1",59.5,57,11469,7,6.98,4.16
"807",807,0.84,"Premium","F","SI2",62.3,59,2863,6.06,6.01,3.76
"11101",11101,0.82,"Ideal","F","VS2",61.3,56,4931,6.02,6.05,3.7
"42245",42245,0.52,"Ideal","D","SI2",61.7,55,1292,5.17,5.2,3.2
"47227",47227,0.59,"Very Good","H","VVS2",62.3,55,1840,5.42,5.33,3.35
"45366",45366,0.4,"Ideal","D","VVS1",61.1,56,1665,4.77,4.82,2.93
"50024",50024,0.51,"Ideal","G","VVS2",61.8,56,2197,5.11,5.15,3.16
"15899",15899,1.07,"Premium","G","VS2",62.1,58,6355,6.55,6.59,4.08
"23287",23287,2.01,"Good","I","SI2",56.9,59,11312,8.41,8.3,4.74
"28118",28118,0.36,"Ideal","D","SI1",61.2,57,663,4.59,4.63,2.82
"33796",33796,0.4,"Premium","F","VS2",60.7,60,842,4.75,4.8,2.9
"42383",42383,0.5,"Ideal","F","SI2",62,55,1305,5.12,5.09,3.16
"9433",9433,1.06,"Ideal","I","SI2",62.7,58,4591,6.48,6.5,4.07
"34036",34036,0.3,"Ideal","G","VVS2",61.8,57,850,4.31,4.33,2.67
"27292",27292,2,"Ideal","G","VS2",62.3,57,17760,8.06,7.97,4.99
"43979",43979,0.36,"Premium","E","SI2",61.5,61,518,4.63,4.57,2.83
"16038",16038,0.3,"Very Good","I","VS1",63.3,59,608,4.23,4.2,2.67
"23059",23059,2.2,"Very Good","H","SI2",63.3,57,11088,8.28,8.17,5.21
"6381",6381,0.25,"Premium","E","VVS2",62.5,59,576,4.02,4.05,2.52
"9263",9263,1.01,"Very Good","E","SI2",63.2,59,4561,6.38,6.34,4.02
"24149",24149,1.51,"Very Good","G","VS1",60.2,63,12317,7.36,7.39,4.44
"22218",22218,1.55,"Ideal","D","SI2",61.1,56,10275,7.45,7.48,4.56
"20513",20513,1.41,"Very Good","H","VS2",62.5,58,8846,7.08,7.12,4.44
"45042",45042,0.54,"Ideal","H","VVS2",61.6,56,1639,5.24,5.27,3.24
"13631",13631,1.2,"Ideal","I","SI1",60.1,56,5578,6.9,6.84,4.13
"21664",21664,1.5,"Premium","I","VS1",60.8,61,9761,7.39,7.35,4.48
"13788",13788,1.04,"Premium","F","SI1",62.5,60,5621,6.43,6.46,4.03
"33018",33018,0.31,"Ideal","F","VVS2",60.2,55,814,4.43,4.45,2.67
"39242",39242,0.42,"Ideal","H","VVS1",62.4,55,1068,4.79,4.8,2.99
"17324",17324,1.06,"Premium","F","VS2",62.2,57,6947,6.58,6.53,4.08
"1963",1963,0.73,"Ideal","G","SI1",61.4,57,3089,5.74,5.79,3.54
"46676",46676,0.59,"Ideal","E","SI1",62.4,55,1789,5.39,5.34,3.35
"33836",33836,0.34,"Ideal","G","VVS1",60.5,55,844,4.53,4.56,2.75
"3974",3974,0.9,"Good","E","SI1",63.8,56,3510,6.09,6.17,3.91
"52584",52584,0.97,"Fair","J","SI2",60.8,67,2538,6.41,6.32,3.87
"37013",37013,0.33,"Very Good","G","VVS2",60,63,965,4.49,4.45,2.68
"25081",25081,2.04,"Premium","J","VS2",61.4,59,13600,8.14,8.04,4.97
"17884",17884,1.36,"Ideal","I","SI1",62,56,7218,7.08,7.11,4.4
"21446",21446,1.5,"Very Good","E","SI2",62.1,59,9548,7.26,7.33,4.53
"41032",41032,0.41,"Ideal","H","IF",62.1,56,1187,4.74,4.76,2.95
"19058",19058,1.5,"Very Good","J","VVS2",62.8,62,7840,7.22,7.25,4.54
"16451",16451,1.2,"Ideal","H","SI1",61.2,60,6569,6.87,6.82,4.19
"13916",13916,1.29,"Premium","I","VS1",61.1,58,5664,7.03,6.98,4.28
"23843",23843,1.7,"Ideal","E","SI2",59.6,59,11924,7.73,7.83,4.64
"32172",32172,0.33,"Very Good","H","IF",62.9,58,787,4.38,4.43,2.77
"26467",26467,2.17,"Good","H","SI2",58.9,62,16036,8.48,8.52,5.01
"47985",47985,0.3,"Very Good","H","VVS2",62,55,533,4.28,4.32,2.67
"14562",14562,1,"Ideal","E","SI1",61.6,55,5880,6.45,6.43,3.97
"22960",22960,1.5,"Premium","H","VS1",61.1,58,11007,7.46,7.37,4.53
"8709",8709,0.28,"Ideal","H","VVS1",62,55,586,4.17,4.22,2.6
"47943",47943,0.51,"Ideal","G","VVS2",62.4,56,1916,5.1,5.13,3.19
"11483",11483,1.26,"Premium","J","VS2",62.5,58,5015,6.9,6.92,4.32
"47965",47965,0.52,"Ideal","D","VS2",61.8,57,1919,5.2,5.16,3.2
"5932",5932,1.1,"Ideal","E","I1",61.9,56,3942,6.63,6.59,4.09
"20218",20218,1.09,"Very Good","G","IF",62.9,57,8650,6.52,6.58,4.12
"32576",32576,0.33,"Very Good","F","VVS2",61.2,55,801,4.45,4.47,2.73
"30000",30000,0.43,"Very Good","H","SI1",60.2,57,716,4.91,4.93,2.96
"48228",48228,0.57,"Premium","E","VS2",61,58,1949,5.34,5.31,3.25
"9644",9644,1.09,"Very Good","I","SI1",61.4,58,4640,6.61,6.69,4.08
"52585",52585,0.7,"Very Good","G","VS2",59.3,60,2539,5.77,5.83,3.43
"5988",5988,1.04,"Ideal","I","SI2",62.4,57,3953,6.48,6.46,4.04
"22013",22013,1.19,"Ideal","D","VS1",61.1,57,10079,6.84,6.87,4.19
"9391",9391,1,"Premium","F","SI1",61.4,60,4586,6.38,6.35,3.91
"13979",13979,1.27,"Very Good","J","VS1",63.4,60,5690,6.85,6.8,4.33
"15378",15378,0.35,"Ideal","I","SI1",61.3,54,606,4.56,4.51,2.78
"8201",8201,1,"Fair","H","VS1",65.4,61,4368,6.22,6.17,4.05
"22642",22642,1.51,"Premium","G","SI1",62.4,62,10688,7.25,7.12,4.48
"2783",2783,0.9,"Ideal","J","VS2",62.5,57,3255,6.16,6.26,3.88
"3694",3694,0.9,"Good","H","SI1",62.1,61,3447,6.07,6.11,3.78
"13727",13727,0.27,"Ideal","E","VS2",62.7,55,603,4.18,4.15,2.61
"33652",33652,0.39,"Ideal","I","VS2",62.9,57,834,4.68,4.64,2.93
"45400",45400,0.55,"Ideal","H","VVS2",62.1,55,1668,5.25,5.28,3.27
"30543",30543,0.31,"Premium","E","VS1",61.9,58,734,4.31,4.32,2.67
"34892",34892,0.31,"Ideal","D","VS2",59.4,56,879,4.45,4.4,2.63
"42386",42386,0.5,"Ideal","H","VS2",60.3,55,1306,5.16,5.21,3.13
"32619",32619,0.3,"Ideal","H","VS2",62,57,457,4.27,4.31,2.66
"34567",34567,0.38,"Good","D","VS2",63.4,55,871,4.63,4.67,2.95
"3050",3050,0.27,"Very Good","G","IF",60.8,57,566,4.2,4.22,2.56
"4942",4942,0.58,"Ideal","D","VVS1",62.1,55,3732,5.33,5.37,3.32
"32779",32779,0.34,"Premium","D","SI1",62,56,803,4.47,4.43,2.76
"48115",48115,0.56,"Premium","F","VS2",60.5,59,1935,5.42,5.33,3.25
"47399",47399,0.7,"Premium","D","SI2",58.6,60,1848,5.89,5.78,3.42
"38999",38999,0.37,"Very Good","E","VVS1",60.9,56,1055,4.65,4.67,2.84
"45629",45629,0.53,"Very Good","F","VS2",59.2,58,1693,5.29,5.31,3.14
"53649",53649,0.71,"Ideal","E","SI1",61.3,57,2704,5.81,5.78,3.55
"2068",2068,0.32,"Ideal","E","SI1",61.9,56,561,4.39,4.43,2.73
"30755",30755,0.25,"Premium","F","IF",61.1,58,740,4.1,4.08,2.5
"23162",23162,1.54,"Premium","H","VS2",61,60,11177,7.46,7.42,4.54
"13151",13151,1.08,"Ideal","G","SI1",61.7,56,5439,6.6,6.63,4.08
"8435",8435,1.08,"Premium","F","SI2",60.2,59,4407,6.6,6.65,3.99
"26782",26782,2.06,"Ideal","I","SI1",61.9,56,16626,8.17,8.19,5.06
"2952",2952,0.74,"Premium","D","VS2",58,59,3294,6,5.93,3.46
"24387",24387,0.41,"Good","E","SI2",63.8,57,638,4.68,4.75,3.01
"23141",23141,1.51,"Very Good","G","VS2",59.3,58,11161,7.32,7.49,4.39
"31510",31510,0.34,"Premium","G","VS2",61.2,59,765,4.49,4.43,2.73
"16190",16190,1.1,"Ideal","H","VS1",61.4,57,6470,6.65,6.64,4.08
"31878",31878,0.3,"Ideal","H","VVS2",62.2,57,776,4.29,4.26,2.66
"45324",45324,0.3,"Very Good","F","VS2",61.4,55,524,4.32,4.37,2.67
"28237",28237,0.33,"Ideal","F","VS2",62.3,56,666,4.43,4.46,2.77
"49574",49574,0.59,"Ideal","G","VVS2",61,57,2131,5.44,5.41,3.31
"14090",14090,1.23,"Ideal","F","SI2",62.8,57,5715,6.74,6.86,4.27
"47521",47521,0.61,"Ideal","I","VVS2",62,54,1867,5.51,5.47,3.4
"29860",29860,0.3,"Premium","D","VS2",60.9,58,710,4.32,4.35,2.64
"1632",1632,0.7,"Premium","E","VS1",61.8,58,3016,5.71,5.75,3.54
"12064",12064,1.08,"Ideal","H","SI1",59.7,60,5154,6.71,6.69,4
"29277",29277,0.31,"Premium","I","VVS2",61.6,59,698,4.33,4.31,2.66
"13850",13850,1.2,"Very Good","E","SI2",63.3,55,5645,6.77,6.73,4.27
"44246",44246,0.51,"Premium","F","VS2",62.3,60,1574,5.1,5.07,3.17
"47285",47285,0.3,"Premium","G","SI2",62.5,59,394,4.27,4.31,2.68
"17114",17114,1.23,"Very Good","I","VS2",61.2,59,6826,6.84,6.81,4.18
"41290",41290,0.5,"Good","D","SI1",63.9,56,1210,5.02,4.93,3.18
"23838",23838,1.7,"Good","I","VS1",58,60,11921,7.84,7.88,4.56
"45764",45764,0.5,"Very Good","H","IF",61.3,60,1706,5.08,5.17,3.14
"10644",10644,1.11,"Very Good","G","VS2",63.4,56,4834,6.62,6.54,4.18
"15594",15594,1.53,"Ideal","I","SI2",61.8,56,6255,7.4,7.35,4.56
"41537",41537,0.42,"Ideal","G","VVS1",62,56,1235,4.84,4.81,2.99
"11497",11497,1,"Good","I","VS1",63.7,56,5018,6.34,6.32,4.03
"37228",37228,0.4,"Premium","E","VS2",61.9,59,975,4.75,4.72,2.93
"19988",19988,1.6,"Premium","F","SI2",60.5,60,8530,7.55,7.52,4.56
"39865",39865,0.39,"Ideal","G","IF",61.9,54,1101,4.67,4.73,2.91
"43493",43493,0.51,"Premium","F","SI1",60.5,59,1421,5.18,5.13,3.12
"42737",42737,0.51,"Very Good","E","SI1",62.8,61,1343,5.06,5.07,3.18
"48857",48857,0.5,"Ideal","D","VS1",62.4,53.7,2033,5.08,5.12,3.18
"50051",50051,0.7,"Ideal","F","SI1",62.6,56,2200,5.69,5.66,3.55
"29359",29359,0.31,"Premium","G","VS2",61.7,59,698,4.34,4.31,2.67
"36909",36909,0.42,"Ideal","I","IF",62.1,54,961,4.82,4.84,3
"26175",26175,2.1,"Ideal","I","SI2",61.9,56,15511,8.2,8.22,5.08
"23202",23202,2.04,"Premium","J","VS2",60.9,59,11209,8.25,8.21,5.01
"46844",46844,0.56,"Ideal","F","SI1",61.1,56,1811,5.35,5.33,3.26
"52368",52368,0.81,"Very Good","H","SI2",62.1,56,2504,5.95,5.99,3.71
"47679",47679,0.51,"Ideal","D","VS2",61.9,57,1882,5.13,5.11,3.17
"10427",10427,1.09,"Ideal","H","SI1",62.2,56,4784,6.56,6.59,4.09
"51903",51903,0.53,"Ideal","E","VVS2",61.8,55,2433,5.16,5.19,3.2
"33270",33270,0.34,"Good","G","VVS2",58,61,826,4.56,4.58,2.65
"2903",2903,0.72,"Ideal","E","VS1",62.6,57,3283,5.69,5.72,3.57
"7718",7718,0.32,"Ideal","H","VS1",61,56,580,4.43,4.45,2.71
"26899",26899,1.54,"Premium","D","VS2",59.3,59,16889,7.61,7.54,4.49
"27810",27810,0.3,"Ideal","H","VVS1",62.3,57,650,4.25,4.28,2.65
"46862",46862,0.53,"Premium","G","VS1",60.1,58,1813,5.32,5.27,3.18
"36322",36322,0.32,"Ideal","G","VVS2",60.6,57,936,4.43,4.41,2.68
"14786",14786,1.09,"Very Good","H","SI1",62.5,57,5950,6.49,6.54,4.07
"39390",39390,0.41,"Ideal","G","VVS1",62.2,54,1076,4.79,4.82,2.99
"34509",34509,0.33,"Premium","H","IF",62,58,868,4.39,4.42,2.73
"37256",37256,0.31,"Ideal","H","IF",60.8,57,977,4.4,4.38,2.67
"5360",5360,0.72,"Ideal","F","VVS2",61.2,56,3816,5.78,5.81,3.55
"38186",38186,0.41,"Ideal","D","SI1",61.4,56,1015,4.8,4.77,2.94
"9188",9188,1.01,"Good","E","SI1",63.5,58,4546,6.28,6.35,4.01
"48166",48166,0.51,"Good","F","VVS2",60.2,62,1942,5.16,5.21,3.12
"17658",17658,1,"Premium","F","VS1",62.6,58,7114,6.37,6.4,4
"16211",16211,1.02,"Ideal","F","VS2",62.7,56,6479,6.39,6.44,4.02
"33956",33956,0.23,"Very Good","E","VVS2",60.2,57,465,3.99,4.05,2.42
"30009",30009,0.43,"Very Good","H","SI1",61.5,58,716,4.8,4.86,2.97
"26743",26743,2.47,"Premium","J","SI2",59.4,59,16532,8.85,8.79,5.24
"46874",46874,0.53,"Ideal","E","VS2",61.4,56,1813,5.24,5.21,3.21
"14253",14253,1.22,"Ideal","H","VS1",62.7,55,5773,6.82,6.73,4.25
"37971",37971,0.41,"Very Good","F","VS1",61.2,57,1007,4.77,4.8,2.93
"22382",22382,1.5,"Ideal","I","VS1",62.2,54,10406,7.33,7.4,4.57
"53902",53902,0.57,"Premium","E","VS1",61.6,58,2753,5.36,5.33,3.29
"1697",1697,0.91,"Ideal","I","SI2",61.6,57,3034,6.23,6.24,3.84
"34325",34325,0.39,"Premium","F","SI1",61.3,62,860,4.71,4.68,2.88
"48899",48899,0.63,"Ideal","H","VS1",61.2,57,2040,5.5,5.55,3.37
"17559",17559,1.01,"Premium","G","VVS2",61.2,59,7068,6.42,6.36,3.91
"40795",40795,0.46,"Good","F","VS1",61.6,62.2,1168,4.84,5,3.04
"19538",19538,1.06,"Premium","G","VVS1",61.1,58,8170,6.53,6.57,4
"41791",41791,0.41,"Very Good","E","VVS2",61.6,60,1249,4.75,4.77,2.93
"931",931,0.73,"Premium","F","VS2",58.7,57,2882,5.97,5.92,3.49
"28220",28220,0.33,"Premium","G","VS1",60.3,59,666,4.44,4.52,2.7
"13065",13065,1.16,"Ideal","H","SI1",64.2,59,5411,6.66,6.61,4.26
"29952",29952,0.33,"Ideal","I","SI1",62.7,56,445,4.4,4.44,2.77
"35253",35253,0.3,"Very Good","G","IF",63,53,895,4.24,4.3,2.69
"14405",14405,1.12,"Ideal","H","SI1",60.9,57,5818,6.7,6.73,4.09
"36148",36148,0.33,"Ideal","E","VS2",61.9,56,928,4.45,4.4,2.74
"6389",6389,0.25,"Very Good","E","VVS1",62.9,58,576,4.01,4.03,2.53
"20124",20124,1.64,"Premium","I","SI2",61.3,58,8587,7.58,7.62,4.66
"48101",48101,0.7,"Good","G","SI2",64.1,56,1935,5.64,5.59,3.6
"45555",45555,0.51,"Ideal","D","SI1",62.8,56,1687,5.09,5.07,3.19
"9801",9801,1.04,"Ideal","F","SI2",62.1,57,4668,6.46,6.48,4.02
"29753",29753,0.45,"Ideal","G","SI2",61.9,54,709,4.91,4.95,3.05
"49199",49199,0.59,"Ideal","D","VS2",61.7,56,2078,5.39,5.41,3.33
"34588",34588,0.42,"Ideal","F","VS2",62,55,872,4.79,4.82,2.98
"34488",34488,0.43,"Premium","G","VS2",61.2,58,867,4.84,4.9,2.98
"38630",38630,0.31,"Very Good","H","VS2",62.5,54,489,4.35,4.39,2.73
"15922",15922,1.52,"Premium","J","SI1",61,59,6367,7.41,7.35,4.5
"14747",14747,1.14,"Ideal","H","VS2",61.6,56,5937,6.72,6.68,4.13
"3976",3976,0.9,"Very Good","E","SI1",62.9,57,3510,6.11,6.17,3.86
"49800",49800,0.78,"Very Good","J","SI1",58,61,2164,6.07,6.13,3.54
"49104",49104,0.55,"Ideal","G","VVS2",61.2,55.8,2064,5.27,5.33,3.24
"37853",37853,0.33,"Premium","D","VVS2",62.6,56,1002,4.47,4.44,2.79
"22657",22657,1.54,"Premium","H","VS2",61.8,59,10702,7.35,7.4,4.56
"37182",37182,0.32,"Premium","D","VS2",61.7,58,972,4.38,4.34,2.69
"42498",42498,0.54,"Very Good","E","SI1",62.2,61,1320,5.24,5.15,3.23
"17427",17427,1.11,"Ideal","G","VS2",61.2,56,6982,6.68,6.65,4.08
"29772",29772,0.3,"Ideal","I","VVS1",62.1,56,709,4.33,4.3,2.68
"45820",45820,0.53,"Ideal","H","IF",60.2,56,1712,5.29,5.32,3.19
"29590",29590,0.43,"Good","F","SI1",60.7,61,706,4.86,4.89,2.96
"27048",27048,0.32,"Ideal","H","VVS2",61.8,55,645,4.38,4.42,2.72
"42802",42802,0.4,"Ideal","F","VVS2",61.8,55,1351,4.71,4.74,2.92
"26888",26888,2.18,"Good","H","SI2",60.4,64,16842,8.47,8.38,5.09
"5780",5780,1.06,"Premium","F","SI2",62.6,59,3901,6.51,6.47,4.06
"47319",47319,0.23,"Very Good","E","VVS2",60,56,530,4.03,4.07,2.43
"46183",46183,0.56,"Ideal","E","VS2",61.6,57,1747,5.32,5.3,3.27
"38047",38047,0.39,"Very Good","F","VS2",63.3,55,1011,4.66,4.63,2.94
"53807",53807,0.9,"Premium","H","SI2",61.1,58,2732,6.21,6.13,3.77
"53379",53379,0.71,"Ideal","I","SI1",61.3,56,2660,5.72,5.75,3.52
"49602",49602,0.6,"Ideal","E","VS2",62.3,53.8,2137,5.41,5.45,3.38
"36730",36730,0.32,"Ideal","E","VVS1",61.7,56,954,4.4,4.42,2.72
"8529",8529,1,"Good","D","SI2",58.1,65,4427,6.54,6.48,3.78
"47514",47514,0.67,"Very Good","H","VS2",62.9,55,1867,5.56,5.6,3.51
"49330",49330,0.57,"Premium","D","VS1",60.9,57,2093,5.43,5.37,3.29
"53506",53506,0.7,"Very Good","D","SI1",63.5,58,2686,5.61,5.64,3.57
"20374",20374,0.31,"Premium","G","VS1",62.1,58,625,4.31,4.36,2.69
"17117",17117,1.01,"Premium","D","VS2",61,59,6827,6.44,6.41,3.92
"1803",1803,0.75,"Ideal","E","SI1",61.3,57,3053,5.84,5.91,3.6
"22514",22514,1.5,"Very Good","I","VVS2",59.7,60,10551,7.46,7.62,4.5
"33099",33099,0.4,"Ideal","H","VS1",61.1,57,815,4.74,4.78,2.91
"14967",14967,1.01,"Ideal","G","VS2",63,57,6027,6.42,6.35,4.02
"20383",20383,0.31,"Good","H","VVS2",63.6,56,625,4.28,4.33,2.74
"44520",44520,0.58,"Ideal","H","VS2",62.4,58,1600,5.3,5.34,3.32
"3611",3611,0.9,"Good","F","SI1",64.3,57,3427,6.08,6.01,3.89
"29245",29245,0.34,"Ideal","E","VS2",61.8,57,696,4.48,4.52,2.78
"50267",50267,0.5,"Very Good","F","IF",61.4,60,2238,5.07,5.1,3.12
"16528",16528,1.2,"Premium","F","SI1",60.2,58,6604,6.9,6.86,4.14
"16278",16278,1.51,"Ideal","I","VS2",60.7,57,6511,7.42,7.35,4.48
"36457",36457,0.31,"Ideal","D","VS2",62.2,56,942,4.33,4.32,2.69
"51754",51754,0.72,"Premium","G","VS2",62.3,59,2405,5.77,5.69,3.57
"10127",10127,1,"Very Good","E","SI1",61,61,4719,6.4,6.45,3.92
"35018",35018,0.4,"Very Good","E","SI1",63.3,56,882,4.74,4.68,2.98
"50708",50708,0.8,"Premium","J","VS1",60.8,59,2292,6,5.94,3.63
"21170",21170,1.7,"Premium","I","VS2",61.3,59,9330,7.69,7.59,4.68
"32556",32556,0.32,"Ideal","F","VVS2",61.2,57,800,4.42,4.44,2.71
"23938",23938,1.5,"Premium","D","SI1",62.4,58,12069,7.27,7.31,4.55
"11128",11128,0.9,"Very Good","H","VS1",63,55,4939,6.18,6.13,3.88
"53924",53924,0.73,"Ideal","I","VS2",61.3,56,2756,5.8,5.84,3.57
"25471",25471,2.02,"Premium","I","VS1",60.5,62,14238,8.18,8.15,4.94
"26678",26678,0.29,"Very Good","G","VS1",62.1,59,426,4.22,4.25,2.63
"890",890,0.7,"Premium","F","VS1",60.8,62,2874,5.71,5.67,3.46
"51825",51825,0.72,"Ideal","G","SI2",61.5,55,2420,5.79,5.82,3.57
"6074",6074,1.09,"Premium","I","SI1",61.6,61,3968,6.64,6.57,4.07
"22444",22444,1.6,"Ideal","F","SI2",61.7,56,10472,7.5,7.53,4.64
"49303",49303,0.32,"Ideal","I","VVS2",61.7,56,540,4.4,4.42,2.72
"484",484,0.73,"Premium","E","SI1",59.6,61,2821,5.92,5.85,3.51
"3180",3180,0.91,"Very Good","I","VS2",63,58,3340,6.07,6.15,3.85
"5398",5398,0.3,"Premium","D","SI2",62.4,58,574,4.31,4.28,2.68
"15183",15183,1,"Very Good","F","VS1",58.1,62,6098,6.57,6.62,3.83
"31576",31576,0.36,"Ideal","E","VS1",60.8,55,767,4.58,4.63,2.8
"40906",40906,0.5,"Premium","D","SI2",58.5,60,1178,5.21,5.19,3.04
