"Cost4_A" "md_earn_wne_p10" "STATE"
"2656" 15319 22000 "NY"
"2657" 12987 32100 "NY"
"2658" 10013 32700 "NY"
"2660" 44716 58400 "NY"
"2661" 37875 32200 "NY"
"2664" 17879 23400 "NY"
"2665" 45230 73500 "NY"
"2666" 23226 28300 "NY"
"2667" 50827 38200 "NY"
"2668" 25208 18400 "NY"
"2670" 12073 14600 "NY"
"2676" 54035 81700 "NY"
"2678" 35869 41900 "NY"
"2679" 22436 23400 "NY"
"2680" 42504 56900 "NY"
"2681" 54730 55500 "NY"
"2682" 12050 36100 "NY"
"2684" 40081 39300 "NY"
"2686" 38565 45200 "NY"
"2687" 22986 49000 "NY"
"2688" 25686 59000 "NY"
"2689" 53420 45500 "NY"
"2690" 36489 42700 "NY"
"2691" 33698 48000 "NY"
"2692" 14399 47800 "NY"
"2693" 57743 39700 "NY"
"2694" 9372 29700 "NY"
"2696" 40220 55100 "NY"
"2698" 54970 43100 "NY"
"2699" 22563 51800 "NY"
"2703" 21730 55800 "NY"
"2705" 36396 44800 "NY"
"2708" 45717 54100 "NY"
"2709" 25442 34500 "NY"
"2712" 13396 29600 "NY"
"2713" 19558 35300 "NY"
"2714" 17648 31100 "NY"
"2715" 18772 34600 "NY"
"2716" 21140 34800 "NY"
"2717" 12149 45600 "NY"
"2718" 19888 31300 "NY"
"2719" 19774 50900 "NY"
"2720" 19988 58400 "NY"
"2721" 18531 49700 "NY"
"2722" 18807 55500 "NY"
"2723" 20297 44600 "NY"
"2724" 18124 47900 "NY"
"2725" 18243 40100 "NY"
"2726" 15898 38900 "NY"
"2727" 20065 45300 "NY"
"2728" 18759 40600 "NY"
"2729" 19737 46700 "NY"
"2730" 19576 46000 "NY"
"2731" 18625 42400 "NY"
"2732" 19625 40700 "NY"
"2733" 18709 38000 "NY"
"2734" 20892 34700 "NY"
"2736" 15518 42900 "NY"
"2737" 17803 40600 "NY"
"2739" 17054 39400 "NY"
"2740" 19952 77300 "NY"
"2742" 17565 32200 "NY"
"2743" 51960 56600 "NY"
"2744" 18463 18700 "NY"
"2747" 21157 33400 "NY"
"2748" 13268 29900 "NY"
"2750" 24182 29400 "NY"
"2751" 18468 36100 "NY"
"2753" 9460 30600 "NY"
"2755" 53950 61800 "NY"
"2757" 13006 13400 "NY"
"2758" 7281 89000 "NY"
"2759" 40171 44700 "NY"
"2760" 19407 25700 "NY"
"2761" 55420 47100 "NY"
"2762" 19303 27600 "NY"
"2763" 46156 40100 "NY"
"2764" 44995 53800 "NY"
"2766" 44780 33600 "NY"
"2767" 34464 38700 "NY"
"2768" 10444 38300 "NY"
"2770" 24484 33800 "NY"
"2771" 14348 27800 "NY"
"2775" 13201 13700 "NY"
"2777" 48435 55600 "NY"
"2778" 11646 13500 "NY"
"2780" 11178 23100 "NC"
"2781" 31741 28200 "NC"
"2782" 11561 20700 "NC"
"2783" 15416 36600 "NC"
"2784" 14819 27400 "NC"
"2785" 32934 36500 "NC"
"2786" 11694 23900 "NC"
"2787" 38780 39200 "NC"
"2788" 27319 29400 "NC"
"2789" 10031 23700 "NC"
"2790" 10927 23800 "NC"
"2791" 32529 31100 "NC"
"2793" 10594 22000 "NC"
"2794" 18990 43600 "NC"
"2795" 17428 24500 "NC"
"2796" 36738 42900 "NC"
"2797" 13220 26500 "NC"
"2799" 11871 23200 "NC"
"2800" 36893 36600 "NC"
"2801" 10033 26700 "NC"
"2802" 30909 22300 "NC"
"2803" 14556 24400 "NC"
"2804" 12152 28100 "NC"
"2805" 28680 35400 "NC"
"2806" 4834 23100 "NC"
"2807" 13376 27300 "NC"
"2808" 11971 29100 "NC"
"2809" 14972 24400 "NC"
"2810" 49804 58500 "NC"
"2811" 55150 76700 "NC"
"2812" 10138 29200 "NC"
"2813" 16897 39200 "NC"
"2814" 11001 23100 "NC"
"2815" 9917 30100 "NC"
"2816" 38975 44500 "NC"
"2818" 12560 27700 "NC"
"2819" 11587 31100 "NC"
"2820" 9260 25700 "NC"
"2821" 31318 36800 "NC"
"2822" 14242 25700 "NC"
"2823" 35315 35100 "NC"
"2824" 40320 38500 "NC"
"2825" 16068 28800 "NC"
"2826" 9398 21500 "NC"
"2827" 12732 22600 "NC"
"2829" 2200 37500 "NC"
"2830" 10607 24200 "NC"
"2831" 7853 23100 "NC"
"2832" 19589 28300 "NC"
"2833" 28074 31300 "NC"
"2834" 12639 25800 "NC"
"2835" 34508 34400 "NC"
"2836" 10375 23600 "NC"
"2837" 36704 36900 "NC"
"2839" 24000 26100 "NC"
"2840" 24380 27700 "NC"
"2841" 33495 32800 "NC"
"2842" 10478 21800 "NC"
"2843" 14318 22900 "NC"
"2844" 13458 26000 "NC"
"2846" 35819 38400 "NC"
"2847" 41399 39600 "NC"
"2848" 20935 22800 "NC"
"2849" 13747 26200 "NC"
"2853" 11851 23600 "NC"
"2854" 33289 40800 "NC"
"2855" 27682 39200 "NC"
"2857" 8957 25700 "NC"
"2858" 14306 33600 "NC"
"2859" 15617 36000 "NC"
"2860" 20208 50400 "NC"
"2861" 16199 41700 "NC"
"2862" 15256 37000 "NC"
"2863" 16143 31600 "NC"
"2864" 17925 30500 "NC"
"2865" 18329 47500 "NC"
"2866" 33440 35900 "NC"
"2867" 16368 38700 "NC"
"2868" 8875 22000 "NC"
"2869" 38030 35900 "NC"
"2870" 14134 33400 "NC"
"2871" 31115 37500 "NC"
"2872" 20810 30700 "NC"
"2873" 10756 23700 "NC"
"2874" 8844 26000 "NC"
"2875" 35960 38600 "NC"
"2876" 11007 26700 "NC"
"2877" 10270 22500 "NC"
"2878" 24142 27600 "NC"
"2879" 6269 21200 "NC"
"2880" 12271 21000 "NC"
"2881" 11027 26300 "NC"
"2882" 6748 24000 "NC"
"2883" 29846 28200 "NC"
"2884" 37631 33200 "NC"
"2885" 11356 24200 "NC"
"2886" 12310 23000 "NC"
"2887" 24269 27400 "NC"
"2889" 36257 35800 "NC"
"2891" 10650 24400 "NC"
"2892" 14237 23400 "NC"
"2893" 16227 25900 "NC"
"2894" 11248 26800 "NC"
"2895" 13549 26500 "NC"
"2896" 10510 21700 "NC"
"2897" 10613 24900 "NC"
"2898" 54135 61000 "NC"
"2899" 12657 31300 "NC"
"2900" 37572 25500 "NC"
"2902" 6640 26500 "NC"
"2903" 10416 25900 "NC"
"2904" 8018 24300 "NC"
"2905" 11462 23000 "NC"
"2906" 32240 37000 "NC"
"2909" 14984 33300 "NC"
"2910" 16056 35100 "NC"
"2911" 23298 31300 "ND"
"2912" 11392 38100 "ND"
"2913" 13052 37000 "ND"
"2914" 13096 20600 "ND"
"2917" 26116 38600 "ND"
"2919" 11637 34800 "ND"
"2920" 10776 19400 "ND"
"2921" 21364 45700 "ND"
"2922" 14715 34000 "ND"
"2924" 16151 37200 "ND"
"2926" 16468 46600 "ND"
"2927" 13076 41400 "ND"
"2928" 12155 31800 "ND"
"2929" 17821 46300 "ND"
"2930" 11946 33300 "ND"
"2932" 9330 11600 "ND"
"2933" 23487 26800 "ND"
"2934" 11339 22400 "ND"
"2935" 9066 15700 "ND"
"2936" 15299 36700 "ND"
"2937" 16348 24900 "OH"
"2939" 20088 23900 "OH"
"2940" 20176 42300 "OH"
"2941" 20175 34800 "OH"
"2943" 15010 34800 "OH"
"2945" 22813 22700 "OH"
"2947" 29619 27900 "OH"
"2949" 40259 39200 "OH"
"2952" 19970 56700 "OH"
"2953" 35187 44000 "OH"
"2954" 12437 25700 "OH"
"2955" 36423 38300 "OH"
"2956" 20639 22100 "OH"
"2957" 14989 39000 "OH"
"2958" 21798 39000 "OH"
"2959" 22387 22300 "OH"
"2963" 40054 41400 "OH"
"2968" 52073 67000 "OH"
"2969" 30820 40900 "OH"
"2970" 13966 31800 "OH"
"2972" 16288 24900 "OH"
"2973" 15027 20900 "OH"
"2974" 18332 30900 "OH"
"2975" 20180 46200 "OH"
"2976" 24220 31000 "OH"
"2977" 29202 45700 "OH"
"2978" 24865 39400 "OH"
"2979" 16212 29700 "OH"
"2980" 16766 39400 "OH"
"2981" 16542 39400 "OH"
"2982" 29917 32800 "OH"
"2983" 8054 26600 "OH"
"2985" 47981 32700 "OH"
"2987" 55439 31100 "OH"
"2988" 19270 39300 "OH"
"2989" 6794 19500 "OH"
"2990" 26473 25000 "OH"
"2991" 38962 32800 "OH"
"2993" 9215 31300 "OH"
"2995" 9689 27600 "OH"
"2996" 22892 24000 "OH"
"2998" 41090 52300 "OH"
"2999" 35549 37000 "OH"
"3000" 49410 48600 "OH"
"3001" 29066 46500 "OH"
"3002" 17685 37800 "OH"
"3004" 10923 27200 "OH"
"3006" 22641 22300 "OH"
"3008" 36454 40600 "OH"
"3009" 25955 48300 "OH"
"3011" 14332 26300 "OH"
"3012" 21737 44000 "OH"
"3017" 33473 38000 "OH"
"3018" 39590 39000 "OH"
"3020" 12050 28800 "OH"
"3023" 25898 23500 "OH"
"3024" 26851 38400 "OH"
"3025" 7175 23300 "OH"
"3026" 42000 51000 "OH"
"3029" 15105 36600 "OH"
"3030" 15062 36600 "OH"
"3031" 12685 36600 "OH"
"3032" 15166 36600 "OH"
"3033" 14679 36600 "OH"
"3034" 14306 36600 "OH"
"3035" 23200 36600 "OH"
"3036" 12818 36600 "OH"
"3037" 53280 43700 "OH"
"3038" 20375 57200 "OH"
"3039" 38288 33400 "OH"
"3040" 10445 31900 "OH"
"3042" 13256 31200 "OH"
"3043" 22725 23300 "OH"
"3044" 21378 23300 "OH"
"3045" 7285 28700 "OH"
"3046" 22508 36000 "OH"
"3047" 32177 38500 "OH"
"3048" 39156 42600 "OH"
"3049" 11373 29600 "OH"
"3051" 21737 42100 "OH"
"3053" 15744 45800 "OH"
"3054" 16254 45800 "OH"
"3055" 29082 45800 "OH"
"3056" 21222 31500 "OH"
"3059" 20814 57700 "OH"
"3060" 35227 40800 "OH"
"3061" 31455 39100 "OH"
"3062" 30315 39900 "OH"
"3063" 12180 26600 "OH"
"3064" 30775 39400 "OH"
"3065" 28783 22100 "OH"
"3066" 28179 25200 "OH"
"3068" 8869 26800 "OH"
"3070" 14110 29800 "OH"
"3072" 34896 39200 "OH"
"3074" 24387 35800 "OH"
"3075" 55095 38400 "OH"
"3077" 25618 25200 "OH"
"3079" 36457 39500 "OH"
"3081" 45891 54300 "OH"
"3082" 20716 42600 "OH"
"3083" 16274 42600 "OH"
"3084" 16983 42600 "OH"
"3085" 15977 42600 "OH"
"3086" 18598 42600 "OH"
"3092" 25337 42600 "OH"
"3093" 14164 39500 "OH"
"3094" 14045 39500 "OH"
"3095" 14066 39500 "OH"
"3096" 13611 39500 "OH"
"3097" 24069 39500 "OH"
"3098" 12806 39500 "OH"
"3099" 17225 19000 "OH"
"3100" 9116 46300 "OH"
"3101" 48998 41000 "OH"
"3102" 38788 41200 "OH"
"3103" 10904 29500 "OH"
"3108" 27528 25100 "OH"
"3112" 23681 25200 "OH"
"3113" 29314 31800 "OH"
"3114" 38642 22200 "OH"
"3115" 19462 32200 "OH"
"3116" 7172 27000 "OH"
"3117" 17570 16200 "OH"
"3118" 29299 20900 "OH"
"3119" 28981 20900 "OH"
"3120" 28856 20900 "OH"
"3121" 29299 20900 "OH"
"3122" 28079 25200 "OH"
"3123" 28303 25200 "OH"
"3124" 21844 16100 "OH"
"3125" 25174 16100 "OH"
"3126" 25214 16100 "OH"
"3127" 25966 16100 "OH"
"3128" 16015 30400 "OH"
"3129" 20469 29700 "OH"
"3130" 30680 35500 "OH"
"3131" 10026 27400 "OH"
"3133" 11440 28400 "OH"
"3134" 17092 16100 "OH"
"3135" 30930 38200 "OH"
"3136" 20095 40200 "OH"
"3142" 26124 19100 "OH"
"3143" 24840 39300 "OH"
"3146" 30618 37500 "OH"
"3147" 33933 42900 "OH"
"3149" 24722 27700 "OH"
"3151" 33216 41800 "OH"
"3152" 11100 27000 "OH"
"3154" 22770 32200 "OH"
"3155" 35377 39000 "OH"
"3157" 47956 42700 "OH"
"3158" 47570 44400 "OH"
"3159" 21705 38800 "OH"
"3160" 14908 38800 "OH"
"3161" 42470 48800 "OH"
"3162" 25722 38400 "OH"
"3163" 16623 34800 "OH"
"3165" 23700 30600 "OK"
"3166" 29036 44000 "OK"
"3167" 29582 45800 "OK"
"3170" 12671 33900 "OK"
"3171" 9068 25900 "OK"
"3173" 16459 38400 "OK"
"3175" 15595 29800 "OK"
"3176" 13399 34500 "OK"
"3177" 7734 29800 "OK"
"3178" 10916 33000 "OK"
"3181" 21826 33400 "OK"
"3183" 15246 28400 "OK"
"3184" 13190 30500 "OK"
"3185" 24361 37900 "OK"
"3186" 11967 35000 "OK"
"3188" 10074 30400 "OK"
"3189" 10542 28600 "OK"
"3190" 12031 36100 "OK"
"3192" 26713 35600 "OK"
"3194" 10186 34400 "OK"
"3195" 20016 43400 "OK"
"3196" 10850 34400 "OK"
"3197" 27338 35300 "OK"
"3198" 11988 33000 "OK"
"3199" 40050 39400 "OK"
"3200" 21954 46600 "OK"
"3202" 10039 33000 "OK"
"3203" 32924 34900 "OK"
"3206" 15385 32600 "OK"
"3207" 13645 31400 "OK"
"3208" 29331 38200 "OK"
"3210" 13266 30700 "OK"
"3211" 15467 28000 "OK"
"3213" 14159 34300 "OK"
"3214" 20500 28200 "OK"
"3215" 15136 37000 "OK"
"3216" 10214 31200 "OK"
"3218" 41449 43200 "OK"
"3221" 12059 31100 "OK"
"3226" 33043 33000 "OR"
"3228" 12661 28800 "OR"
"3229" 13121 29500 "OR"
"3230" 12503 29700 "OR"
"3231" 7155 33800 "OR"
"3232" 11542 23900 "OR"
"3235" 33007 41800 "OR"
"3238" 17841 37800 "OR"
"3240" 19745 23200 "OR"
"3241" 39280 43300 "OR"
"3243" 26660 38400 "OR"
"3244" 12794 28100 "OR"
"3245" 49228 43400 "OR"
"3246" 41214 51300 "OR"
"3247" 11609 31500 "OR"
"3249" 26734 33300 "OR"
"3253" 11342 33100 "OR"
"3254" 26234 31400 "OR"
"3257" 32238 38500 "OR"
"3259" 17932 50100 "OR"
"3261" 20459 46400 "OR"
"3262" 20343 41600 "OR"
"3263" 38355 22600 "OR"
"3264" 42816 42300 "OR"
"3270" 12172 33100 "OR"
"3271" 18711 42800 "OR"
"3272" 46143 51700 "OR"
"3273" 53700 36200 "OR"
"3274" 12359 24800 "OR"
"3276" 23969 29400 "OR"
"3278" 18153 37300 "OR"
"3279" 11717 27600 "OR"
"3280" 12048 28800 "OR"
"3281" 15293 27300 "OR"
"3282" 28355 36100 "OR"
"3283" 36200 34200 "OR"
"3285" 28666 24900 "OR"
"3287" 48301 49200 "OR"
"3288" 19884 38500 "OR"
"3295" 43469 48500 "PA"
"3297" 9496 30100 "PA"
"3298" 46320 49200 "PA"
"3300" 42271 48300 "PA"
"3302" 38448 42600 "PA"
"3304" 32140 28300 "PA"
"3305" 34022 31300 "PA"
"3306" 38197 31700 "PA"
"3308" 36400 29200 "PA"
"3310" 27852 30000 "PA"
"3311" 10324 33700 "PA"
"3312" 44869 43700 "PA"
"3315" 20188 43800 "PA"
"3316" 25946 25600 "PA"
"3317" 53780 50400 "PA"
"3318" 55180 68800 "PA"
"3319" 11687 35800 "PA"
"3322" 7186 29900 "PA"
"3323" 46477 42700 "PA"
"3324" 20954 38100 "PA"
"3326" 19743 22900 "PA"
"3327" 33145 39900 "PA"
"3328" 55286 72000 "PA"
"3329" 38803 45200 "PA"
"3330" 23931 32100 "PA"
"3331" 40951 34300 "PA"
"3332" 38977 43000 "PA"
"3333" 19074 30000 "PA"
"3336" 19005 37200 "PA"
"3341" 22548 37800 "PA"
"3342" 12529 35500 "PA"
"3343" 41345 42200 "PA"
"3344" 54450 52100 "PA"
"3346" 32894 23000 "PA"
"3347" 50611 61100 "PA"
"3348" 15219 24200 "PA"
"3349" 26285 18100 "PA"
"3350" 38759 54300 "PA"
"3351" 17305 42900 "PA"
"3352" 37419 42800 "PA"
"3353" 20512 33900 "PA"
"3354" 42955 47700 "PA"
"3368" 14669 23200 "PA"
"3371" 16836 59900 "PA"
"3372" 53710 54800 "PA"
"3373" 35708 46200 "PA"
"3374" 31231 37500 "PA"
"3375" 51880 52200 "PA"
"3380" 35233 52000 "PA"
"3381" 32488 33700 "PA"
"3382" 12646 34000 "PA"
"3383" 55632 55600 "PA"
"3384" 31333 18400 "PA"
"3385" 28897 49900 "PA"
"3386" 20080 34200 "PA"
"3388" 43189 49000 "PA"
"3389" 21086 38000 "PA"
"3390" 15382 35500 "PA"
"3394" 25546 35500 "PA"
"3395" 43339 45200 "PA"
"3396" 28108 31400 "PA"
"3398" 38256 48900 "PA"
"3400" 19361 41400 "PA"
"3401" 32853 38700 "PA"
"3402" 44226 53200 "PA"
"3403" 18970 30600 "PA"
"3404" 53774 69800 "PA"
"3405" 27270 30400 "PA"
"3408" 20297 36200 "PA"
"3410" 42187 46100 "PA"
"3411" 8005 31500 "PA"
"3412" 18884 30300 "PA"
"3413" 52454 76800 "PA"
"3417" 20237 34900 "PA"
"3418" 17782 39100 "PA"
"3422" 9578 31300 "PA"
"3423" 42993 42800 "PA"
"3424" 11303 23200 "PA"
"3425" 21215 38100 "PA"
"3426" 19425 38100 "PA"
"3427" 38972 38000 "PA"
"3428" 20646 23300 "PA"
"3430" 39274 38500 "PA"
"3431" 38710 41400 "PA"
"3432" 31304 20800 "PA"
"3433" 18692 43200 "PA"
"3434" 35297 47500 "PA"
"3435" 11006 35500 "PA"
"3436" 45714 30500 "PA"
"3437" 43209 50000 "PA"
"3438" 28396 36600 "PA"
"3439" 49756 56000 "PA"
"3441" 34349 41600 "PA"
"3443" 17853 31500 "PA"
"3444" 10646 32500 "PA"
"3449" 14888 35400 "PA"
"3450" 26927 47500 "PA"
"3453" 19785 47500 "PA"
"3454" 20667 47500 "PA"
"3455" 19330 47500 "PA"
"3456" 18645 47500 "PA"
"3457" 18247 47500 "PA"
"3458" 27760 47500 "PA"
"3459" 22313 47500 "PA"
"3460" 25948 47500 "PA"
"3461" 25435 47500 "PA"
"3462" 18652 47500 "PA"
"3463" 22264 47500 "PA"
"3464" 18626 47500 "PA"
"3465" 25542 47500 "PA"
"3466" 29684 47500 "PA"
"3467" 24532 47500 "PA"
"3468" 25174 47500 "PA"
"3469" 18648 47500 "PA"
"3470" 24782 47500 "PA"
"3471" 18926 47500 "PA"
"3472" 17141 28800 "PA"
"3473" 20738 44700 "PA"
"3474" 28054 23900 "PA"
"3477" 38783 20900 "PA"
"3481" 26565 27300 "PA"
"3482" 55250 78200 "PA"
"3483" 42904 48700 "PA"
"3484" 48983 31100 "PA"
"3485" 31680 32600 "PA"
"3487" 46324 85800 "PA"
"3488" 10364 30700 "PA"
"3489" 22390 48200 "PA"
"3490" 22044 48200 "PA"
"3491" 22385 48200 "PA"
"3492" 27864 48200 "PA"
"3493" 20470 48200 "PA"
"3495" 28965 54900 "PA"
"3497" 25475 34400 "PA"
"3499" 18912 31300 "PA"
"3500" 34883 37900 "PA"
"3503" 13442 30200 "PA"
"3504" 22731 57600 "PA"
"3507" 32666 30100 "PA"
"3509" 34788 44900 "PA"
"3510" 33613 33500 "PA"
"3511" 40850 45800 "PA"
"3512" 38093 46900 "PA"
"3513" 50938 58500 "PA"
"3514" 38248 44200 "PA"
"3517" 48022 56000 "PA"
"3518" 37860 35600 "PA"
"3519" 24187 54000 "PA"
"3520" 23239 49900 "PA"
"3522" 14396 17600 "PA"
"3523" 18962 45200 "PA"
"3524" 19600 39000 "PA"
"3527" 25739 29200 "PA"
"3530" 44910 50000 "PA"
"3531" 54153 49400 "PA"
"3532" 12967 39000 "PA"
"3534" 25642 46500 "PA"
"3535" 36426 37200 "PA"
"3537" 28220 25800 "PA"
"3538" 25692 30800 "PA"
"3539" 24719 35500 "PA"
"3540" 24632 37700 "PA"
"3541" 25301 35800 "PA"
"3543" 52959 51500 "PA"
"3544" 27391 28500 "PA"
"3545" 41545 47700 "PA"
"3547" 52762 73700 "PA"
"3548" 20271 49900 "PA"
"3550" 45183 49900 "PA"
"3551" 27101 44700 "PA"
"3553" 23296 46500 "PA"
"3554" 12839 49500 "PA"
"3555" 23198 23200 "PA"
"3556" 39642 44400 "PA"
"3558" 5490 29300 "PA"
"3559" 46238 51700 "PA"
"3560" 40300 49900 "PA"
"3561" 21595 24400 "PA"
"3562" 37961 32600 "PA"
"3564" 24866 47900 "PA"
"3566" 22180 24000 "PA"
"3568" 54370 59700 "RI"
"3569" 47780 61900 "RI"
"3570" 37097 35100 "RI"
"3572" 30740 38800 "RI"
"3575" 52940 59600 "RI"
"3576" 14496 39600 "RI"
"3577" 10236 29100 "RI"
"3578" 24130 48200 "RI"
"3579" 55805 47300 "RI"
"3580" 44744 47200 "RI"
"3581" 45450 48300 "RI"
"3585" 21305 25000 "MA"
"3586" 11204 25300 "SC"
"3587" 19831 19400 "SC"
"3588" 33184 32800 "SC"
"3589" 31050 36100 "SC"
"3590" 10139 24900 "SC"
"3591" 27620 21400 "SC"
"3593" 29146 41300 "SC"
"3595" 23932 39700 "SC"
"3597" 11918 24500 "SC"
"3598" 22949 52500 "SC"
"3599" 25111 27500 "SC"
"3600" 25060 49400 "SC"
"3601" 10489 12600 "SC"
"3602" 29313 32800 "SC"
"3603" 25899 29600 "SC"
"3604" 35874 31800 "SC"
"3605" 37106 33400 "SC"
"3606" 11926 16800 "SC"
"3607" 41050 36000 "SC"
"3608" 9880 25100 "SC"
"3609" 22398 20600 "SC"
"3610" 19405 32300 "SC"
"3611" 50936 47500 "SC"
"3612" 12362 28700 "SC"
"3613" 11355 25100 "SC"
"3616" 20249 33900 "SC"
"3617" 32464 36100 "SC"
"3620" 10811 28400 "SC"
"3621" 19088 23200 "SC"
"3622" 36009 33300 "SC"
"3623" 27246 31200 "SC"
"3624" 12126 23700 "SC"
"3625" 12808 25300 "SC"
"3626" 42552 41300 "SC"
"3627" 17504 37000 "SC"
"3628" 18638 32400 "SC"
"3629" 22206 42100 "SC"
"3630" 16562 28100 "SC"
"3631" 19123 24600 "SC"
"3632" 16456 32800 "SC"
"3633" 17358 28500 "SC"
"3634" 20489 36200 "SC"
"3635" 23894 30400 "SC"
"3636" 19326 36100 "SC"
"3638" 23412 28700 "SC"
"3639" 12066 24600 "SC"
"3640" 12162 25500 "SC"
"3642" 14259 26100 "SC"
"3643" 10610 29100 "SC"
"3644" 19876 26400 "SC"
"3645" 13571 19300 "SC"
"3646" 22998 36100 "SC"
"3647" 43710 46800 "SC"
"3648" 12846 25300 "SC"
"3649" 33990 42600 "SD"
"3651" 16680 34400 "SD"
"3652" 21522 22200 "SD"
"3653" 15813 37400 "SD"
"3654" 29880 34100 "SD"
"3656" 13322 35000 "SD"
"3658" 11192 38000 "SD"
"3659" 29880 32300 "SD"
"3660" 20735 37800 "SD"
"3661" 21643 37800 "SD"
"3663" 15666 33200 "SD"
"3664" 8996 20000 "SD"
"3665" 23981 37100 "SD"
"3667" 18062 52300 "SD"
"3668" 16960 40600 "SD"
"3669" 19867 21400 "SD"
"3670" 32200 36900 "SD"
"3672" 9930 20900 "SD"
"3673" 13162 36000 "SD"
"3675" 17426 39500 "SD"
"3676" 16129 31000 "SD"
"3678" 29195 44400 "TN"
"3681" 17598 34700 "TN"
"3682" 21770 54900 "TN"
"3683" 38010 39100 "TN"
"3684" 23255 35200 "TN"
"3685" 28159 35500 "TN"
"3686" 29881 35400 "TN"
"3687" 12810 27700 "TN"
"3688" 32330 45300 "TN"
"3690" 10308 27300 "TN"
"3691" 11888 28500 "TN"
"3694" 29917 35000 "TN"
"3695" 33279 39000 "TN"
"3697" 28442 22500 "TN"
"3698" 13443 27600 "TN"
"3699" 20825 34000 "TN"
"3700" 23472 25100 "TN"
"3704" 31267 33800 "TN"
"3705" 22811 31200 "TN"
"3706" 28978 37000 "TN"
"3709" 22467 25500 "TN"
"3712" 15469 27200 "TN"
"3714" 19026 29400 "TN"
"3716" 34981 39700 "TN"
"3717" 31676 22400 "TN"
"3719" 15386 25000 "TN"
"3720" 15383 28300 "TN"
"3721" 22430 32400 "TN"
"3722" 27616 37500 "TN"
"3724" 27414 29100 "TN"
"3725" 40743 36500 "TN"
"3729" 36600 26700 "TN"
"3731" 18665 37000 "TN"
"3733" 21002 39000 "TN"
"3734" 16682 36100 "TN"
"3736" 32477 36400 "TN"
"3738" 12200 26700 "TN"
"3742" 9929 30100 "TN"
"3748" 46456 50300 "TN"
"3750" 13005 26400 "TN"
"3752" 8603 24700 "TN"
"3754" 48012 38200 "TN"
"3761" 14735 26900 "TN"
"3762" 27590 38500 "TN"
"3764" 25181 35300 "TN"
"3765" 18794 36500 "TN"
"3766" 22061 42300 "TN"
"3767" 16302 34800 "TN"
"3768" 31092 37600 "TN"
"3770" 15209 35800 "TN"
"3771" 18848 37700 "TN"
"3772" 23926 33300 "TN"
"3773" 27635 39500 "TN"
"3774" 12189 26100 "TN"
"3775" 30646 40000 "TN"
"3776" 37690 37400 "TN"
"3778" 56634 60900 "TN"
"3780" 12066 30100 "TN"
"3781" 9810 26200 "TN"
"3784" 35300 40200 "TX"
"3785" 9717 33000 "TX"
"3786" 9417 31300 "TX"
"3792" 9779 26900 "TX"
"3793" 17538 38000 "TX"
"3794" 19443 34000 "TX"
"3796" 28903 32900 "TX"
"3797" 41171 47600 "TX"
"3798" 11875 34700 "TX"
"3805" 43495 49100 "TX"
"3806" 9665 26300 "TX"
"3807" 11724 36900 "TX"
"3808" 27337 27200 "TX"
"3809" 21742 28600 "TX"
"3810" 9892 29900 "TX"
"3811" 10009 37500 "TX"
"3814" 12083 29000 "TX"
"3815" 8778 33700 "TX"
"3817" 9997 30400 "TX"
"3818" 9966 29200 "TX"
"3819" 32256 41000 "TX"
"3821" 9167 32400 "TX"
"3822" 17059 42400 "TX"
"3824" 25957 30400 "TX"
"3825" 29115 42200 "TX"
"3826" 22988 42200 "TX"
"3827" 29077 33200 "TX"
"3829" 44780 45200 "TX"
"3830" 10070 29100 "TX"
"3831" 29395 46500 "TX"
"3832" 26234 19400 "TX"
"3833" 27655 36700 "TX"
"3834" 9180 35800 "TX"
"3835" 17997 37100 "TX"
"3836" 10582 31800 "TX"
"3837" 9907 28800 "TX"
"3838" 9316 25500 "TX"
"3842" 34579 29800 "TX"
"3844" 10965 29500 "TX"
"3846" 8340 30400 "TX"
"3847" 11176 32200 "TX"
"3849" 30646 38600 "TX"
"3850" 10748 28500 "TX"
"3851" 12864 28200 "TX"
"3852" 32181 43600 "TX"
"3854" 15888 32700 "TX"
"3855" 16259 42800 "TX"
"3856" 16220 39300 "TX"
"3857" 20465 48300 "TX"
"3858" 9598 29200 "TX"
"3859" 29294 37300 "TX"
"3860" 23652 30500 "TX"
"3861" 31509 42700 "TX"
"3864" 26011 38400 "TX"
"3865" 26568 38400 "TX"
"3866" 12772 23700 "TX"
"3867" 22734 25800 "TX"
"3868" 26040 25700 "TX"
"3869" 8374 26500 "TX"
"3870" 19800 38800 "TX"
"3871" 7641 26600 "TX"
"3872" 13525 27600 "TX"
"3874" 9536 28300 "TX"
"3875" 10812 45200 "TX"
"3876" 9332 28600 "TX"
"3877" 34110 50000 "TX"
"3879" 24393 30200 "TX"
"3881" 26968 36700 "TX"
"3882" 13454 28400 "TX"
"3883" 32500 41700 "TX"
"3884" 11616 30500 "TX"
"3885" 31389 37200 "TX"
"3888" 10652 33500 "TX"
"3889" 15158 38500 "TX"
"3891" 24580 26800 "TX"
"3893" 10341 30700 "TX"
"3896" 13145 31100 "TX"
"3898" 9225 32900 "TX"
"3899" 11276 35900 "TX"
"3900" 17852 42100 "TX"
"3901" 9321 26500 "TX"
"3902" 28708 44600 "TX"
"3905" 9029 32000 "TX"
"3908" 30473 39200 "TX"
"3909" 11165 40500 "TX"
"3910" 12619 29400 "TX"
"3911" 9995 29400 "TX"
"3912" 9672 26400 "TX"
